filename, language, JSON, JavaScript, Markdown, HTML, CSS, comment, blank, total
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\Models\Post.js, JavaScript, 0, 53, 0, 0, 0, 0, 3, 56
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\Models\Profile.js, JavaScript, 0, 117, 0, 0, 0, 0, 3, 120
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\Models\User.js, JavaScript, 0, 24, 0, 0, 0, 0, 3, 27
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\README.md, Markdown, 0, 0, 37, 0, 0, 0, 32, 69
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\package.json, JSON, 44, 0, 0, 0, 0, 0, 1, 45
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\public\index.html, HTML, 0, 0, 0, 47, 0, 4, 4, 55
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\public\manifest.json, JSON, 25, 0, 0, 0, 0, 0, 1, 26
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\App.css, CSS, 0, 0, 0, 0, 38, 0, 8, 46
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\App.js, JavaScript, 0, 82, 0, 0, 0, 7, 15, 104
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\App.test.js, JavaScript, 0, 8, 0, 0, 0, 0, 2, 10
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\actions\PostAction.js, JavaScript, 0, 146, 0, 0, 0, 10, 11, 167
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\actions\authActions.js, JavaScript, 0, 43, 0, 0, 0, 11, 8, 62
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\actions\profileAction.js, JavaScript, 0, 161, 0, 0, 0, 11, 11, 183
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\actions\types.js, JavaScript, 0, 13, 0, 0, 0, 0, 1, 14
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\add-credentials\AddEducation.js, JavaScript, 0, 142, 0, 0, 0, 0, 3, 145
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\add-credentials\AddExperience.js, JavaScript, 0, 142, 0, 0, 0, 0, 3, 145
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\auth\Login.js, JavaScript, 0, 79, 0, 0, 0, 0, 5, 84
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\auth\Register.js, JavaScript, 0, 97, 0, 0, 0, 0, 6, 103
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\common\InputGroup.js, JavaScript, 0, 25, 0, 0, 0, 0, 3, 28
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\common\PrivateRoutes.js, JavaScript, 0, 19, 0, 0, 0, 0, 3, 22
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\common\SelectListGroup.js, JavaScript, 0, 26, 0, 0, 0, 0, 3, 29
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\common\Spinner.js, JavaScript, 0, 14, 0, 0, 0, 0, 3, 17
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\common\TextAreaFieldGroup.js, JavaScript, 0, 27, 0, 0, 0, 0, 3, 30
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\common\TextFieldGroup.js, JavaScript, 0, 31, 0, 0, 0, 0, 3, 34
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\createprofile\CreateProfile.js, JavaScript, 0, 228, 0, 0, 0, 1, 12, 241
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\dashboard\Dashboard.js, JavaScript, 0, 81, 0, 0, 0, 2, 4, 87
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\dashboard\Education.js, JavaScript, 0, 50, 0, 0, 0, 0, 3, 53
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\dashboard\Experience.js, JavaScript, 0, 50, 0, 0, 0, 0, 3, 53
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\dashboard\ProfileActions.js, JavaScript, 0, 20, 0, 0, 0, 0, 3, 23
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\edit-profile\EditProfile.js, JavaScript, 0, 276, 0, 0, 0, 4, 16, 296
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\layout\Footer.js, JavaScript, 0, 13, 0, 0, 0, 0, 3, 16
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\layout\Landing.js, JavaScript, 0, 38, 0, 0, 0, 0, 5, 43
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\layout\Navbar.js, JavaScript, 0, 89, 0, 0, 0, 0, 7, 96
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\not-found\NotFound.js, JavaScript, 0, 7, 0, 0, 0, 0, 3, 10
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\not-found\RedirectNotFound.js, JavaScript, 0, 14, 0, 0, 0, 0, 3, 17
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\post\CommentFeed.js, JavaScript, 0, 11, 0, 0, 0, 0, 3, 14
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\post\CommentForm.js, JavaScript, 0, 68, 0, 0, 0, 0, 5, 73
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\post\CommentItem.js, JavaScript, 0, 42, 0, 0, 0, 0, 6, 48
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\post\Post.js, JavaScript, 0, 46, 0, 0, 0, 0, 5, 51
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\posts\PostFeed.js, JavaScript, 0, 15, 0, 0, 0, 0, 4, 19
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\posts\PostForm.js, JavaScript, 0, 67, 0, 0, 0, 0, 5, 72
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\posts\PostItem.js, JavaScript, 0, 89, 0, 0, 0, 0, 9, 98
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\posts\Posts.js, JavaScript, 0, 36, 0, 0, 0, 0, 5, 41
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\profiles\ProfileItem.js, JavaScript, 0, 46, 0, 0, 0, 0, 5, 51
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\profiles\Profiles.js, JavaScript, 0, 44, 0, 0, 0, 0, 2, 46
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\view-profile\ProfileAbout.js, JavaScript, 0, 37, 0, 0, 0, 0, 4, 41
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\view-profile\ProfileCreds.js, JavaScript, 0, 90, 0, 0, 0, 0, 4, 94
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\view-profile\ProfileGithub.js, JavaScript, 0, 65, 0, 0, 0, 0, 6, 71
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\view-profile\ProfileHeader.js, JavaScript, 0, 67, 0, 0, 0, 0, 3, 70
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\components\view-profile\ViewProfile.js, JavaScript, 0, 58, 0, 0, 0, 5, 4, 67
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\index.css, CSS, 0, 0, 0, 0, 12, 0, 2, 14
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\index.js, JavaScript, 0, 7, 0, 0, 0, 3, 3, 13
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\reducers\PostReducer.js, JavaScript, 0, 45, 0, 0, 0, 0, 2, 47
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\reducers\authReducer.js, JavaScript, 0, 18, 0, 0, 0, 0, 3, 21
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\reducers\errorReducer.js, JavaScript, 0, 12, 0, 0, 0, 0, 2, 14
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\reducers\index.js, JavaScript, 0, 11, 0, 0, 0, 0, 2, 13
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\reducers\profileReducer.js, JavaScript, 0, 39, 0, 0, 0, 0, 3, 42
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\serviceWorker.js, JavaScript, 0, 94, 0, 0, 0, 31, 13, 138
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\setupTests.js, JavaScript, 0, 1, 0, 0, 0, 4, 1, 6
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\store.js, JavaScript, 0, 14, 0, 0, 0, 0, 4, 18
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\utils\setAuthToken.js, JavaScript, 0, 9, 0, 0, 0, 2, 3, 14
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\client\src\validation\is-empty.js, JavaScript, 0, 9, 0, 0, 0, 0, 2, 11
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\config\keys.js, JavaScript, 0, 5, 0, 0, 0, 0, 1, 6
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\config\keys_prod.js, JavaScript, 0, 4, 0, 0, 0, 0, 1, 5
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\config\passport.js, JavaScript, 0, 22, 0, 0, 0, 0, 3, 25
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\package.json, JSON, 34, 0, 0, 0, 0, 0, 1, 35
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\routes\api\posts.js, JavaScript, 0, 153, 0, 0, 0, 18, 20, 191
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\routes\api\profile.js, JavaScript, 0, 207, 0, 0, 0, 21, 22, 250
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\routes\api\users.js, JavaScript, 0, 92, 0, 0, 0, 1, 10, 103
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\server.js, JavaScript, 0, 33, 0, 0, 0, 7, 8, 48
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\education.js, JavaScript, 0, 25, 0, 0, 0, 0, 5, 30
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\experience.js, JavaScript, 0, 21, 0, 0, 0, 0, 5, 26
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\is-empty.js, JavaScript, 0, 9, 0, 0, 0, 0, 2, 11
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\login.js, JavaScript, 0, 20, 0, 0, 0, 0, 6, 26
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\post.js, JavaScript, 0, 16, 0, 0, 0, 0, 5, 21
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\profile.js, JavaScript, 0, 54, 0, 0, 0, 0, 7, 61
c:\Users\Hp\Desktop\MERN_STACK\MERN-STACK-MAIN-PROJECT\validation\register.js, JavaScript, 0, 40, 0, 0, 0, 0, 4, 44
Total, -, 103, 3856, 37, 47, 50, 142, 410, 4645